datetime;N;NE;S;SECO;SIN
2024-01-01 00:30:00;6857.468;13331.854;10457.945;36734.844;67382.111
2024-01-01 01:00:00;6902.5513;13321.628;10450.764;36748.707;67423.65030000001
2024-01-01 01:30:00;6951.9844;13158.06;10433.548;36642.367;67185.95939999999
2024-01-01 02:00:00;7011.427;13040.97;10345.272;36535.164;66932.833
2024-01-01 02:30:00;7067.8335;12951.42;10206.3955;36407.05;66632.699
2024-01-01 03:00:00;7104.013;12868.07;10059.611;36098.906;66130.6
2024-01-01 03:30:00;7121.9985;12787.067;9897.897;35685.285;65492.2475
2024-01-01 04:00:00;7117.3193;12723.442;9740.366;35227.617;64808.7443
2024-01-01 04:30:00;7097.6816;12648.816;9613.073;34805.613;64165.183600000004
2024-01-01 05:00:00;7067.9526;12409.411;9497.53;34249.684;63224.577600000004
2024-01-01 05:30:00;7034.5605;11984.656;9332.184;33305.945;61657.3455
2024-01-01 06:00:00;6887.3506;11538.498;8897.243;32403.953;59727.0446
2024-01-01 06:30:00;6705.4707;11222.821;9038.524;32171.93;59138.7457
2024-01-01 07:00:00;6611.8555;11109.22;9205.327;32208.96;59135.362499999996
2024-01-01 07:30:00;6547.4814;11179.705;9414.609;32329.04;59470.835399999996
2024-01-01 08:00:00;6494.7637;11288.791;9593.271;32545.977;59922.8027
2024-01-01 08:30:00;6450.32;11286.506;9809.186;33046.086;60592.098000000005
2024-01-01 09:00:00;6386.9453;11320.493;10011.167;33537.594;61256.1993
2024-01-01 09:30:00;6354.513;11307.569;10260.2705;34192.117;62114.4695
2024-01-01 10:00:00;6367.5845;11341.525;10501.859;34900.957;63111.9255
2024-01-01 10:30:00;6341.577;11354.857;10750.29;35401.82;63848.544
2024-01-01 11:00:00;6297.1226;11397.956;10983.028;36091.26;64769.3666
2024-01-01 11:30:00;6290.329;11489.002;11316.626;36440.41;65536.367
2024-01-01 12:00:00;6276.6353;11513.622;11446.373;36687.605;65924.2353
2024-01-01 12:30:00;6326.666;11540.781;11385.308;36701.797;65954.552
2024-01-01 13:00:00;6370.8354;11548.663;11245.574;36407.523;65572.5954
2024-01-01 13:30:00;6368.4116;11528.648;11104.657;35971.62;64973.3366
2024-01-01 14:00:00;6398.1504;11517.905;10999.217;35725.305;64640.5774
2024-01-01 14:30:00;6435.096;11548.978;10844.488;35550.395;64378.956999999995
2024-01-01 15:00:00;6438.243;11586.345;10812.297;35634.168;64471.053
2024-01-01 15:30:00;6460.966;11642.6;10942.182;35804.203;64849.951
2024-01-01 16:00:00;6458.2007;11619.589;11050.531;35961.77;65090.0907
2024-01-01 16:30:00;6418.71;11591.613;11058.518;36208.55;65277.391
2024-01-01 17:00:00;6426.2163;11604.894;11002.421;36516.688;65550.2193
2024-01-01 17:30:00;6402.7163;11687.713;11030.827;36938.023;66059.2793
2024-01-01 18:00:00;6380.3535;12085.647;11047.65;37573.594;67087.2445
2024-01-01 18:30:00;6431.875;12846.098;11079.228;38373.074;68730.275
2024-01-01 19:00:00;6662.922;13303.365;11239.819;39665.97;70872.076
2024-01-01 19:30:00;6822.5083;13436.859;11566.126;41623.39;73448.8833
2024-01-01 20:00:00;6882.508;13524.713;12365.953;42544.54;75317.714
