datetime;N;NE;S;SECO;SIN
2024-01-01 00:30:00;6543.3926;11438.925;9565.011;34999.273;62546.6016
2024-01-01 01:00:00;6551.2544;11553.903;9686.818;35000.56;62792.53539999999
2024-01-01 01:30:00;6599.096;11672.29;9703.138;34979.176;62953.7
2024-01-01 02:00:00;6647.7812;11748.536;9629.959;34987.25;63013.5262
2024-01-01 02:30:00;6709.93;11834.165;9490.616;34801.312;62836.023
2024-01-01 03:00:00;6755.657;11835.03;9304.915;34576.33;62471.932
2024-01-01 03:30:00;6764.762;11859.617;9142.077;34246.832;62013.288
2024-01-01 04:00:00;6767.6113;11825.426;9011.223;33861.83;61466.0903
2024-01-01 04:30:00;6768.601;11774.624;8939.411;33500.51;60983.146
2024-01-01 05:00:00;6764.464;11636.369;8893.268;33376.617;60670.71799999999
2024-01-01 05:30:00;6740.389;11264.387;8762.605;33068.355;59835.736000000004
2024-01-01 06:00:00;6689.879;10874.582;8270.937;32021.873;57857.271
2024-01-01 06:30:00;6542.9805;10750.749;8296.704;31597.037;57187.470499999996
2024-01-01 07:00:00;6395.5205;10659.692;8434.884;31387.494;56877.5905
2024-01-01 07:30:00;6299.69;10533.044;8595.237;31324.758;56752.729
2024-01-01 08:00:00;6072.3726;10499.285;8635.108;31323.13;56529.8956
2024-01-01 08:30:00;6126.133;10430.931;8671.011;31619.951;56848.026
2024-01-01 09:00:00;6175.6777;10294.888;8762.392;31935.912;57168.869699999996
2024-01-01 09:30:00;6157.007;10219.275;8976.006;32469.1;57821.388
2024-01-01 10:00:00;6112.9106;10180.347;9222.58;32818.336;58334.1736
2024-01-01 10:30:00;6149.915;10315.814;9495.859;33305.816;59267.403999999995
2024-01-01 11:00:00;6120.0225;10330.784;9701.924;33601.316;59754.0465
2024-01-01 11:30:00;6114.024;10235.21;9940.561;33912.824;60202.619
2024-01-01 12:00:00;6093.6;10232.682;10018.826;34137.957;60483.065
2024-01-01 12:30:00;6017.234;10212.383;9997.738;34435.016;60662.371
2024-01-01 13:00:00;6024.778;10271.047;9940.38;34444.195;60680.4
2024-01-01 13:30:00;6060.3516;10270.438;9930.182;34067.23;60328.2016
2024-01-01 14:00:00;6121.757;10239.668;9946.973;33696.676;60005.074
2024-01-01 14:30:00;6198.698;10266.471;10032.467;33649.613;60147.248999999996
2024-01-01 15:00:00;6285.7295;10307.416;10063.814;33560.234;60217.193499999994
2024-01-01 15:30:00;6392.613;10316.585;10160.186;33535.14;60404.524
2024-01-01 16:00:00;6429.1157;10259.421;10195.18;33730.258;60613.974700000006
2024-01-01 16:30:00;6448.6895;10280.389;10366.703;34189.473;61285.254499999995
2024-01-01 17:00:00;6449.4614;10430.383;10585.776;34838.22;62303.8404
2024-01-01 17:30:00;6421.2905;10544.568;10803.918;35314.695;63084.4715
2024-01-01 18:00:00;6418.9805;10898.443;10974.672;36012.68;64304.775499999996
2024-01-01 18:30:00;6511.34;11624.72;11103.064;36777.54;66016.66399999999
2024-01-01 19:00:00;6757.006;12092.021;11321.089;38237.484;68407.6
2024-01-01 19:30:00;6923.0464;12222.883;11660.318;40358.645;71164.8924
2024-01-01 20:00:00;7019.6904;12271.007;12463.013;41521.54;73275.2504
2024-01-01 20:30:00;7097.9375;12285.152;12843.367;41653.906;73880.3625
2024-01-01 21:00:00;7188.7544;12384.86;12798.371;41607.293;73979.2784
2024-01-01 21:30:00;7280.8403;12525.523;12836.163;41280.676;73923.2023
2024-01-01 22:00:00;7413.6963;12659.661;12721.2;40808.383;73602.9403
2024-01-01 22:30:00;7482.6055;12729.783;12522.715;40243.55;72978.6535
2024-01-01 23:00:00;7531.7812;12682.779;12447.273;39907.367;72569.20019999999
2024-01-01 23:30:00;7539.174;12535.353;12017.035;38579.336;70670.898
2024-01-02 00:00:00;7512.5645;12412.933;11668.984;37694.293;69288.7745
2024-01-02 00:30:00;7494.265;12243.178;11357.717;36969.414;68064.574
2024-01-02 01:00:00;7440.2266;12075.468;10972.455;36074.566;66562.7156
2024-01-02 01:30:00;7373.3433;11915.391;10583.968;35252.918;65125.620299999995
2024-01-02 02:00:00;7348.206;11797.52;10358.285;34619.914;64123.925
2024-01-02 02:30:00;7278.8174;11695.016;10225.7295;34063.152;63262.7149
2024-01-02 03:00:00;7224.07;11583.296;10121.477;33706.625;62635.468
2024-01-02 03:30:00;7165.482;11488.055;10053.863;33444.754;62152.154
2024-01-02 04:00:00;7110.699;11403.487;9965.356;33355.184;61834.725999999995
2024-01-02 04:30:00;7063.964;11371.999;9934.88;33459.703;61830.546
2024-01-02 05:00:00;7030.763;11342.969;9918.355;33511.832;61803.919
2024-01-02 05:30:00;6961.48;10967.275;10004.616;33680.883;61614.254
2024-01-02 06:00:00;6888.895;10585.799;9871.532;33534.67;60880.896
2024-01-02 06:30:00;6729.0464;10618.214;10207.7;34299.14;61854.100399999996
2024-01-02 07:00:00;6607.7173;10683.304;10641.214;35023.727;62955.9623
2024-01-02 07:30:00;6545.9263;10977.559;11250.352;36531.777;65305.6143
2024-01-02 08:00:00;6617.119;11374.355;11791.345;37810.67;67593.489
2024-01-02 08:30:00;6746.4106;11800.567;12262.898;39295.168;70105.0436
2024-01-02 09:00:00;6669.3906;12129.912;12678.854;40412.61;71890.7666
2024-01-02 09:30:00;6851.091;12261.805;13078.928;41228.19;73420.014
2024-01-02 10:00:00;7046.119;12429.701;13390.271;41988.535;74854.626
2024-01-02 10:30:00;7143.4126;12546.563;13627.678;42695.12;76012.7736
2024-01-02 11:00:00;7175.22;12589.627;13914.35;43143.875;76823.072
2024-01-02 11:30:00;7154.9814;12629.788;14232.639;43085.137;77102.5454
2024-01-02 12:00:00;7136.0884;12613.647;14381.065;43108.152;77238.95240000001
2024-01-02 12:30:00;7078.8906;12371.139;14066.809;43073.04;76589.8786
2024-01-02 13:00:00;7011.776;12252.648;13927.793;43543.535;76735.75200000001
2024-01-02 13:30:00;7047.576;12451.701;13994.176;44418.277;77911.73
2024-01-02 14:00:00;7158.768;12604.59;14188.449;45068.086;79019.89300000001
2024-01-02 14:30:00;7330.057;12734.734;14446.994;45578.434;80090.21900000001
2024-01-02 15:00:00;7489.065;12961.222;14600.868;45732.457;80783.612
2024-01-02 15:30:00;7534.472;12973.912;14534.63;45976.957;81019.97099999999
2024-01-02 16:00:00;7482.3506;13023.037;14407.117;46207.67;81120.1746
2024-01-02 16:30:00;7457.0957;12988.024;14228.42;46646.605;81320.1447
2024-01-02 17:00:00;7365.7954;12989.889;14121.436;46570.973;81048.0934
2024-01-02 17:30:00;7214.6797;12665.673;13859.965;45469.22;79209.5377
2024-01-02 18:00:00;7048.7866;12531.201;13566.56;45037.383;78183.93059999999
2024-01-02 18:30:00;6859.198;12818.991;13170.499;44473.027;77321.715
2024-01-02 19:00:00;7027.116;13128.669;13165.726;45561.355;78882.86600000001
2024-01-02 19:30:00;7079.715;13247.517;13372.474;46976.89;80676.59599999999
2024-01-02 20:00:00;7235.947;13254.69;13992.5625;47574.402;82057.6015
2024-01-02 20:30:00;7307.4116;13233.163;14163.97;47587.242;82291.78659999999
2024-01-02 21:00:00;7371.715;13396.126;14038.921;47570.742;82377.504
2024-01-02 21:30:00;7436.8467;13615.059;13964.036;47306.684;82322.6257
2024-01-02 22:00:00;7534.473;13748.455;13746.946;46529.89;81559.764
2024-01-02 22:30:00;7580.156;13745.497;13443.149;45638.62;80407.42199999999
2024-01-02 23:00:00;7626.4346;13703.6455;13187.319;44979.812;79497.21109999999
2024-01-02 23:30:00;7629.3345;13574.313;12716.311;43603.727;77523.68549999999
2024-01-03 00:00:00;7585.6885;13486.5205;12283.992;42600.06;75956.261
2024-01-03 00:30:00;7542.597;13352.091;11892.495;41535.07;74322.253
2024-01-03 01:00:00;7499.239;13175.285;11552.943;40585.55;72813.01699999999
2024-01-03 01:30:00;7407.207;12963.372;11249.938;39599.26;71219.777
2024-01-03 02:00:00;7348.7007;12860.818;10984.572;38851.348;70045.4387
2024-01-03 02:30:00;7280.822;12677.865;10759.296;38270.953;68988.936
2024-01-03 03:00:00;7204.5107;12538.089;10530.365;37793.793;68066.75769999999
2024-01-03 03:30:00;7162.5366;12390.19;10446.934;37419.902;67419.5626
2024-01-03 04:00:00;7101.8076;12282.423;10368.48;37185.1;66937.8106
2024-01-03 04:30:00;7055.4473;12195.632;10340.088;37190.47;66781.6373
2024-01-03 05:00:00;6998.1274;12097.603;10359.405;37276.54;66731.67540000001
2024-01-03 05:30:00;6944.9707;11723.514;10547.338;37396.367;66612.1897
2024-01-03 06:00:00;6888.048;11308.86;10446.144;37211.945;65854.997
2024-01-03 06:30:00;6655.8477;11239.762;10841.695;37814.12;66551.4247
2024-01-03 07:00:00;6525.975;11424.08;11307.718;38589.25;67847.023
2024-01-03 07:30:00;6515.8745;11742.226;12067.264;40172.26;70497.6245
2024-01-03 08:00:00;6584.1416;12120.689;12655.883;41503.203;72863.9166
2024-01-03 08:30:00;6754.386;12630.993;13187.253;42983.734;75556.366
2024-01-03 09:00:00;6849.1826;12867.719;13445.199;43998.227;77160.32759999999
2024-01-03 09:30:00;6942.604;13109.816;13575.011;44813.383;78440.81400000001
2024-01-03 10:00:00;7009.4556;13292.016;13749.8545;45433.074;79484.4001
2024-01-03 10:30:00;7091.7944;13271.752;13996.781;45876.18;80236.5074
2024-01-03 11:00:00;7218.6504;13340.608;14318.905;46262.105;81140.2684
2024-01-03 11:30:00;7206.5938;13326.517;14577.521;46601.05;81711.6818
2024-01-03 12:00:00;7110.4883;13280.327;14579.336;46705.113;81675.2643
2024-01-03 12:30:00;7056.358;12936.101;14206.937;46848.15;81047.546
2024-01-03 13:00:00;7085.2354;12818.846;14174.731;47122.86;81201.6724
2024-01-03 13:30:00;7235.69;12979.217;14510.088;47605.895;82330.88999999998
2024-01-03 14:00:00;7394.0366;13213.261;14805.8545;48141.426;83554.5781
2024-01-03 14:30:00;7613.8784;13437.611;14939.756;48458.258;84449.5034
2024-01-03 15:00:00;7722.0444;13582.189;14887.978;48770.414;84962.62539999999
2024-01-03 15:30:00;7725.232;13583.953;14837.747;49306.477;85453.409
2024-01-03 16:00:00;7661.614;13645.962;14765.736;49517.5;85590.812
2024-01-03 16:30:00;7587.293;13603.039;14815.502;49307.406;85313.24
2024-01-03 17:00:00;7555.059;13479.129;14853.701;48785.098;84672.987
2024-01-03 17:30:00;7385.366;12889.296;14714.925;47637.406;82626.993
2024-01-03 18:00:00;7220.312;12734.941;14449.814;46853.758;81258.82500000001
2024-01-03 18:30:00;6975.629;13217.997;13913.358;46322.492;80429.476
2024-01-03 19:00:00;7148.4653;13594.969;14049.695;47276.125;82069.2543
2024-01-03 19:30:00;7234.8545;13625.177;14183.659;48258.594;83302.2845
2024-01-03 20:00:00;7264.759;13612.745;14850.145;48797.64;84525.289
2024-01-03 20:30:00;7052.2524;13565.852;15066.641;48719.4;84404.14540000001
2024-01-03 21:00:00;7105.69;13752.35;14900.441;48553.508;84311.989
2024-01-03 21:30:00;7170.614;14047.407;14838.288;48035.92;84092.22899999999
2024-01-03 22:00:00;7288.4985;14189.301;14665.367;47248.6;83391.7665
2024-01-03 22:30:00;7326.7915;14190.641;14469.034;46309.38;82295.84649999999
2024-01-03 23:00:00;7726.759;14172.599;14118.229;45424.21;81441.79699999999
2024-01-03 23:30:00;7798.5005;14020.827;13565.709;44282.38;79667.41649999999
